

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
087.509  000.092  000.092: require('cmp.config.sources')
087.596  000.086  000.086: require('cmp.config.window')
087.618  006.292  000.504: require('cmp')
088.336  000.087  000.087: require('luasnip.session')
088.339  000.378  000.291: require('luasnip.util.util')
088.601  000.091  000.091: require('luasnip.session.snippet_collection.source')
088.604  000.264  000.172: require('luasnip.session.snippet_collection')
088.956  000.229  000.229: require('luasnip.util._builtin_vars')
089.024  000.419  000.190: require('luasnip.util.environ')
089.118  000.093  000.093: require('luasnip.util.extend_decorator')
089.322  000.079  000.079: require('luasnip.loaders._caches')
089.585  000.125  000.125: require('luasnip.util.path')
089.587  000.263  000.139: require('luasnip.loaders.util')
089.594  000.476  000.134: require('luasnip.loaders')
089.730  000.130  000.130: require('luasnip.util.log')
089.978  000.071  000.071: require('luasnip.util.types')
090.084  000.105  000.105: require('luasnip.util.ext_opts')
090.175  000.090  000.090: require('luasnip.extras.filetype_functions')
090.415  000.680  000.413: require('luasnip.config')
090.417  002.798  000.359: require('luasnip')
090.558  000.141  000.141: require('lspkind')
091.004  000.243  000.243: require('luasnip.util.jsonc')
091.007  000.447  000.204: require('luasnip/loaders/from_vscode')
096.307  000.073  000.073: require('luasnip.nodes.key_indexer')
096.308  000.199  000.126: require('luasnip.nodes.util')
096.382  000.073  000.073: require('luasnip.util.events')
096.387  000.501  000.228: require('luasnip.nodes.node')
096.561  000.173  000.173: require('luasnip.nodes.insertNode')
096.677  000.115  000.115: require('luasnip.nodes.textNode')
096.805  000.128  000.128: require('luasnip.util.mark')
096.910  000.104  000.104: require('luasnip.util.pattern_tokenizer')
096.992  000.081  000.081: require('luasnip.util.dict')
097.009  001.523  000.421: require('luasnip.nodes.snippet')
097.011  001.623  000.101: require('luasnip.nodes.duplicate')
097.654  000.116  000.116: require('luasnip.util.parser.neovim_ast')
097.773  000.118  000.118: require('luasnip.util.str')
098.204  000.100  000.100: require('luasnip.util.directed_graph')
098.206  000.839  000.505: require('luasnip.util.parser.ast_utils')
098.325  000.118  000.118: require('luasnip.nodes.functionNode')
098.506  000.180  000.180: require('luasnip.nodes.choiceNode')
098.678  000.171  000.171: require('luasnip.nodes.dynamicNode')
098.755  000.077  000.077: require('luasnip.util.functions')
098.758  001.546  000.160: require('luasnip.util.parser.ast_parser')
098.949  000.189  000.189: require('luasnip.util.parser.neovim_parser')
098.951  001.842  000.107: require('luasnip.util.parser')
098.953  001.936  000.094: require('luasnip.nodes.snippetProxy')
099.048  000.094  000.094: require('luasnip.nodes.multiSnippet')
101.570  020.367  007.035: require('abraxas.default.plugins.nvim-cmp')
101.852  000.103  000.103: require('mason-core.path')
102.192  000.169  000.169: require('mason-core.functional')
102.403  000.078  000.078: require('mason-core.functional.data')
102.406  000.203  000.125: require('mason-core.functional.function')
102.500  000.084  000.084: require('mason-core.functional.relation')
102.594  000.089  000.089: require('mason-core.functional.logic')
102.605  000.752  000.207: require('mason-core.platform')
102.706  000.100  000.100: require('mason.settings')
102.708  001.059  000.104: require('mason')
103.027  000.167  000.167: require('mason-core.log')
103.112  000.085  000.085: require('mason-lspconfig.settings')
103.114  000.406  000.154: require('mason-lspconfig')
103.749  000.198  000.198: require('null-ls.utils')
103.759  000.331  000.133: require('null-ls.config')
103.932  000.080  000.080: require('null-ls.helpers.cache')
104.090  000.157  000.157: require('null-ls.helpers.diagnostics')
104.175  000.084  000.084: require('null-ls.helpers.formatter_factory')
104.478  000.097  000.097: require('null-ls.logger')
104.590  000.111  000.111: require('null-ls.state')
104.592  000.416  000.208: require('null-ls.helpers.generator_factory')
104.822  000.107  000.107: require('null-ls.helpers.command_resolver')
104.823  000.231  000.124: require('null-ls.helpers.make_builtin')
104.924  000.100  000.100: require('null-ls.helpers.range_formatting_args_factory')
104.925  001.151  000.082: require('null-ls.helpers')
105.433  000.143  000.143: require('null-ls.methods')
105.437  000.305  000.162: require('null-ls.diagnostics')
105.442  000.516  000.211: require('null-ls.sources')
105.535  000.092  000.092: require('null-ls.builtins')
105.537  002.211  000.121: require('null-ls')
105.538  002.283  000.072: require('mason-null-ls.automatic_setup')
105.539  002.424  000.141: require('mason-null-ls')
105.908  000.168  000.168: require('mason-core.functional.list')
106.024  000.114  000.114: require('mason-core.functional.string')
106.040  000.490  000.209: require('mason.api.command')
106.160  000.117  000.117: require('mason-registry.sources')
106.362  000.067  000.067: require('mason-lspconfig.notify')
106.364  000.180  000.113: require('mason-lspconfig.lspconfig_hook')
108.376  000.226  000.226: require('vim.lsp.log')
108.987  000.610  000.610: require('vim.lsp.protocol')
109.948  000.235  000.235: require('vim.lsp._snippet')
110.091  000.141  000.141: require('vim.highlight')
110.100  001.112  000.735: require('vim.lsp.util')
110.105  002.383  000.435: require('vim.lsp.handlers')
110.419  000.313  000.313: require('vim.lsp.rpc')
110.610  000.190  000.190: require('vim.lsp.sync')
110.989  000.378  000.378: require('vim.lsp.buf')
111.157  000.168  000.168: require('vim.lsp.diagnostic')
111.341  000.183  000.183: require('vim.lsp.codelens')
111.403  004.705  001.091: require('vim.lsp')
111.453  005.088  000.383: require('lspconfig.util')
111.677  000.103  000.103: require('mason-core.functional.table')
111.704  000.250  000.148: require('mason-lspconfig.mappings.server')
111.950  000.096  000.096: require('mason-core.EventEmitter')
112.048  000.097  000.097: require('mason-core.optional')
112.313  000.143  000.143: require('mason-core.async')
112.386  000.071  000.071: require('mason-core.async.uv')
112.389  000.340  000.126: require('mason-core.fs')
112.403  000.698  000.165: require('mason-registry')
112.472  000.068  000.068: require('mason-lspconfig.server_config_extensions')
112.678  000.205  000.205: require('lspconfig.configs')
112.785  000.107  000.107: require('lspconfig.server_configurations.omnisharp')
112.914  000.090  000.090: require('mason-lspconfig.ensure_installed')
113.496  000.117  000.117: require('mason-core.result')
113.527  000.296  000.179: require('mason-core.purl')
113.533  000.473  000.177: require('mason-core.package')
113.908  000.172  000.172: require('mason-core.process')
114.096  000.188  000.188: require('mason-core.spawn')
114.098  000.449  000.089: require('mason-core.managers.powershell')
